"Region","ScenarioName","Centraltend","Time","Mode","Baseline","Scenario","PercentChange"
"Southern California","SCS2040","mean","weekly","Walk",32.6,41.5,27.3006134969325
"California","SCS2040","mean","weekly","Bike",3.6107393,5.446946406,50.8540482554362
"Sacramento Area","SCS2040","mean","weekly","Bike",5.8,6.5,12.0689655172414
"San Diego County","SCS2040","mean","weekly","Bike",4,7.6,90
"San Joaquin Valley","SCS2040","mean","weekly","Bike",1.8,3.9,116.666666666667
"SF Bay Area","SCS2040","mean","weekly","Bike",5.8972102,7.04,19.378481709877
"Southern California","SCS2040","mean","weekly","Bike",2.8,4.7,67.8571428571429
"California","SCS2040","mean","weekly","Total",40.4830011,53.430888636,31.9835169927656
"Sacramento Area","SCS2040","mean","weekly","Total",38.2,44.1,15.4450261780105
"San Diego County","SCS2040","mean","weekly","Total",33.5,62.9,87.7611940298507
"San Joaquin Valley","SCS2040","mean","weekly","Total",29.6,53.8,81.7567567567567
"SF Bay Area","SCS2040","mean","weekly","Total",63.6939439,71.14,11.6903674730684
"Southern California","SCS2040","mean","weekly","Total",35.4,46.2,30.5084745762712
"California","SCS2040","median","weekly","Walk",17.4931280349376,22.956081938277,31.2291426234848
"Sacramento Area","SCS2040","median","weekly","Walk",14.9568519857661,17.4222468356103,16.4833806752275
"San Diego County","SCS2040","median","weekly","Walk",15.1453251811537,28.9678778284166,91.2661331594461
"San Joaquin Valley","SCS2040","median","weekly","Walk",10.6089511196833,19.2965423450108,81.8892567919275
"SF Bay Area","SCS2040","median","weekly","Walk",29.9793141245031,33.4189362673469,11.4733183306302
"Southern California","SCS2040","median","weekly","Walk",14.9701219335151,19.1873621664072,28.1710479822517
"California","SCS2040","median","weekly","Bike",1.71302550459979,2.60588318088136,52.1216802601054
"Sacramento Area","SCS2040","median","weekly","Bike",2.67746115794579,3.01182458594326,12.488077632992
"San Diego County","SCS2040","median","weekly","Bike",2.05360341439372,3.98111883356177,93.8601584735435
"San Joaquin Valley","SCS2040","median","weekly","Bike",0.686910504152157,1.50814659610305,119.555034751511
"SF Bay Area","SCS2040","median","weekly","Bike",3.05889806786822,3.67034807054794,19.9892245218177
"Southern California","SCS2040","median","weekly","Bike",1.28577734398289,2.17302655860515,69.0048878815887
"California","SCS2040","median","weekly","Total",19.2061535395374,25.5619651191584,33.0925792430904
"Sacramento Area","SCS2040","median","weekly","Total",17.6343131437119,20.4340714215535,15.8767639829509
"San Diego County","SCS2040","median","weekly","Total",17.1989285955474,32.9489966619783,91.5758675253085
"San Joaquin Valley","SCS2040","median","weekly","Total",11.2958616238355,20.8046889411139,84.1797432894698
"SF Bay Area","SCS2040","median","weekly","Total",33.0382121923713,37.0892843378949,12.2617777316018
"Southern California","SCS2040","median","weekly","Total",16.255899277498,21.3603887250124,31.4008432285269
"California","SCS2040","mean","daily","Walk",5.26746597142857,6.85484889,30.135608415538
"Sacramento Area","SCS2040","mean","daily","Walk",4.62857142857143,5.37142857142857,16.0493827160494
"San Diego County","SCS2040","mean","daily","Walk",4.21428571428571,7.9,87.457627118644
"San Joaquin Valley","SCS2040","mean","daily","Walk",3.97142857142857,7.12857142857143,79.4964028776978
"SF Bay Area","SCS2040","mean","daily","Walk",8.25667624285714,9.15714285714286,10.9059213150656
"Southern California","SCS2040","mean","daily","Walk",4.65714285714286,5.92857142857143,27.3006134969325
"California","SCS2040","mean","daily","Bike",0.5158199,0.778135200857143,50.8540482554362
"Sacramento Area","SCS2040","mean","daily","Bike",0.828571428571429,0.928571428571429,12.0689655172414
"San Diego County","SCS2040","mean","daily","Bike",0.571428571428571,1.08571428571429,90
"San Joaquin Valley","SCS2040","mean","daily","Bike",0.257142857142857,0.557142857142857,116.666666666667
"SF Bay Area","SCS2040","mean","daily","Bike",0.8424586,1.00571428571429,19.378481709877
"Southern California","SCS2040","mean","daily","Bike",0.4,0.671428571428571,67.8571428571429
"California","SCS2040","mean","daily","Total",5.78328587142857,7.63298409085714,31.9835169927656
"Sacramento Area","SCS2040","mean","daily","Total",5.45714285714286,6.3,15.4450261780105
"San Diego County","SCS2040","mean","daily","Total",4.78571428571429,8.98571428571429,87.7611940298507
"San Joaquin Valley","SCS2040","mean","daily","Total",4.22857142857143,7.68571428571429,81.7567567567567
"SF Bay Area","SCS2040","mean","daily","Total",9.09913484285714,10.1628571428571,11.6903674730684
"Southern California","SCS2040","mean","daily","Total",5.05714285714286,6.6,30.5084745762712
"California","SCS2040","median","daily","Walk",2.49901829070537,3.27944027689672,31.2291426234848
"Sacramento Area","SCS2040","median","daily","Walk",2.13669314082373,2.48889240508718,16.4833806752275
"San Diego County","SCS2040","median","daily","Walk",2.16361788302196,4.13826826120236,91.2661331594461
"San Joaquin Valley","SCS2040","median","daily","Walk",1.51556444566904,2.75664890643012,81.8892567919275
"SF Bay Area","SCS2040","median","daily","Walk",4.2827591606433,4.77413375247813,11.4733183306302
"Southern California","SCS2040","median","daily","Walk",2.13858884764501,2.74105173805817,28.1710479822517
"California","SCS2040","median","daily","Bike",0.244717929228542,0.372269025840194,52.1216802601054
"Sacramento Area","SCS2040","median","daily","Bike",0.382494451135112,0.430260655134752,12.488077632992
"San Diego County","SCS2040","median","daily","Bike",0.29337191634196,0.568731261937396,93.8601584735435
"San Joaquin Valley","SCS2040","median","daily","Bike",0.0981300720217368,0.215449513729007,119.555034751511
"SF Bay Area","SCS2040","median","daily","Bike",0.436985438266888,0.524335438649705,19.9892245218177
"Southern California","SCS2040","median","daily","Bike",0.183682477711841,0.310432365515022,69.0048878815887
"California","SCS2040","median","daily","Total",2.74373621993391,3.65170930273691,33.0925792430904
"Sacramento Area","SCS2040","median","daily","Total",2.51918759195884,2.91915306022193,15.8767639829509
"San Diego County","SCS2040","median","daily","Total",2.45698979936392,4.70699952313976,91.5758675253085
"San Joaquin Valley","SCS2040","median","daily","Total",1.61369451769078,2.97209842015913,84.1797432894698
"SF Bay Area","SCS2040","median","daily","Total",4.71974459891019,5.29846919112784,12.2617777316018
"Southern California","SCS2040","median","daily","Total",2.32227132535685,3.0514841035732,31.4008432285269
"California","USSG","mean","weekly","Walk",36.87,135.25,266.829400596691
"California","USSG","mean","weekly","Bike",3.61,135.25,3646.53739612188
"California","USSG","mean","weekly","Total",40.48,270.49,568.20652173913
"SF Bay Area","USSG","mean","weekly","Walk",57.8,126.39,118.667820069204
"SF Bay Area","USSG","mean","weekly","Bike",5.9,126.39,2042.20338983051
"SF Bay Area","USSG","mean","weekly","Total",63.69,252.79,296.906892761815
"San Joaquin Valley","USSG","mean","weekly","Walk",27.8,164.95,493.345323741007
"San Joaquin Valley","USSG","mean","weekly","Bike",1.8,164.95,9063.88888888889
"San Joaquin Valley","USSG","mean","weekly","Total",29.6,329.89,1014.49324324324
"Sacramento Area","USSG","mean","weekly","Walk",32.4,138.54,327.592592592593
"Sacramento Area","USSG","mean","weekly","Bike",5.8,138.54,2288.62068965517
"Sacramento Area","USSG","mean","weekly","Total",38.2,277.07,625.314136125654
"Southern California","USSG","mean","weekly","Walk",32.6,138.99,326.349693251534
"Southern California","USSG","mean","weekly","Bike",2.8,138.99,4863.92857142857
"Southern California","USSG","mean","weekly","Total",35.4,277.98,685.254237288136
"San Diego County","USSG","mean","weekly","Walk",29.5,125.21,324.440677966102
"San Diego County","USSG","mean","weekly","Bike",4,125.21,3030.25
"San Diego County","USSG","mean","weekly","Total",33.5,250.42,647.522388059701
"California","USSG","median","weekly","Walk",17.49,75,328.816466552316
"California","USSG","median","weekly","Bike",1.71,75,4285.9649122807
"California","USSG","median","weekly","Total",19.21,150,680.843310775638
"SF Bay Area","USSG","median","weekly","Walk",29.98,75,150.166777851901
"SF Bay Area","USSG","median","weekly","Bike",3.06,75,2350.98039215686
"SF Bay Area","USSG","median","weekly","Total",33.04,150,353.995157384988
"San Joaquin Valley","USSG","median","weekly","Walk",10.61,75,606.880301602262
"San Joaquin Valley","USSG","median","weekly","Bike",0.69,75,10769.5652173913
"San Joaquin Valley","USSG","median","weekly","Total",11.3,150,1227.43362831858
"Sacramento Area","USSG","median","weekly","Walk",14.96,75,401.336898395722
"Sacramento Area","USSG","median","weekly","Bike",2.68,75,2698.50746268657
"Sacramento Area","USSG","median","weekly","Total",17.63,150,750.822461712989
"Southern California","USSG","median","weekly","Walk",14.97,75,401.002004008016
